postcode,constituency,projectTitle,euContribution,amount,website,myEuId,myeuURL
L39 4QP,West Lancashire postcodes.csv,Polyglot and Hybrid Persistence Architectures for Big Data Analytics,412606.0,3925035.0,,h2020_214253_951860613,https://www.myeu.uk/postcode/L39/4QP
L39 4QP,West Lancashire postcodes.csv,Developer-Centric Knowledge Mining from Large Open-Source Software Repositories,404042.0,3944995.0,,h2020_206182_951860613,https://www.myeu.uk/postcode/L39/4QP
L39 4QP,West Lancashire postcodes.csv,Productivity and Innovation Centre,586465.0,1033798.0,,erdf_england_441,https://www.myeu.uk/postcode/L39/4QP
L39 4QP,West Lancashire postcodes.csv,Erasmus+ — Contribution from the development cooperation instrument (DCI) (21.02.20),69791.0,661306.0,,fts_2016_25213,https://www.myeu.uk/postcode/L39/4QP
L39 4QP,West Lancashire postcodes.csv,Leadership in information and communications technology (09.04.02.01),412566.0,3924654.0,,fts_2017_9230,https://www.myeu.uk/postcode/L39/4QP
L39 4QP,West Lancashire postcodes.csv,Developing the European dimension in sport (15.02.03),79533.0,184716.0,,fts_2017_39334,https://www.myeu.uk/postcode/L39/4QP
L39 4QP,West Lancashire postcodes.csv,Higher education student and staff mobility project,57544.0,,http://  www.edgehill.ac.uk  ,erasmus_2014-1-UK01-KA103-000126_coordinator,https://www.myeu.uk/postcode/L39/4QP
L39 4QP,West Lancashire postcodes.csv,Music Used for Speech Improvement and Correction,12438.0,,http://  www.edgehill.ac.uk  ,erasmus_2015-1-ES01-KA101-015268_2,https://www.myeu.uk/postcode/L39/4QP
L39 4QP,West Lancashire postcodes.csv,Higher education student and staff mobility project,51779.0,,http://  www.edgehill.ac.uk  ,erasmus_2015-1-UK01-KA103-012701_coordinator,https://www.myeu.uk/postcode/L39/4QP
L39 4QP,West Lancashire postcodes.csv,Higher education student and staff mobility project,43073.0,,http://  www.edgehill.ac.uk  ,erasmus_2016-1-UK01-KA103-023619_coordinator,https://www.myeu.uk/postcode/L39/4QP
L39 4QP,West Lancashire postcodes.csv,Higher education student and staff mobility project,71119.0,,http://  www.edgehill.ac.uk  ,erasmus_2017-1-UK01-KA103-035466_coordinator,https://www.myeu.uk/postcode/L39/4QP
L39 4QP,West Lancashire postcodes.csv,Higher education student and staff mobility project,95253.0,,http://  www.edgehill.ac.uk  ,erasmus_2018-1-UK01-KA103-046832_coordinator,https://www.myeu.uk/postcode/L39/4QP
L39 4QP,West Lancashire postcodes.csv,Expedition Greenland - Learning sustainability from the Vikings,144761.0,,http://  www.edgehill.ac.uk  ,erasmus_2014-1-DE03-KA201-001636_4,https://www.myeu.uk/postcode/L39/4QP
L39 4QP,West Lancashire postcodes.csv,Assistive Living Training and Skills,260012.0,,http://  www.edgehill.ac.uk  ,erasmus_2015-1-UK01-KA202-013710_6,https://www.myeu.uk/postcode/L39/4QP
L39 4QP,West Lancashire postcodes.csv,Communicative Approaches in University Vocational Teaching Methodology Focusing on Improving Educational Yield and Sustainability,661225.0,,,erasmus_573873-EPP-1-2016-1-RO-EPPKA2-CBHE-JP_1,https://www.myeu.uk/postcode/L39/4QP
L39 4QP,West Lancashire postcodes.csv,Voices for truth and dignity - Combatting sexual violence in European sport through the voices of those affected,361639.0,,http://  www.edgehill.ac.uk  ,erasmus_567129-EPP-1-2015-2-DE-SPO-SCP_10,https://www.myeu.uk/postcode/L39/4QP
L39 4QP,West Lancashire postcodes.csv,Promoting and Supporting Good Governance in the European Football Agents Industry,184710.0,,,erasmus_590562-EPP-1-2017-1-UK-SPO-SCP_coordinator,https://www.myeu.uk/postcode/L39/4QP
L39 4QP,West Lancashire postcodes.csv,Jean Monnet Chair in EU Sports Law and Policy,40590.0,,,erasmus_574637-EPP-1-2016-1-UK-EPPJMO-CHAIR_coordinator,https://www.myeu.uk/postcode/L39/4QP
L39 7JF,West Lancashire postcodes.csv,Flexible and PrecIse IrriGation PlAtform to Improve FaRm Scale Water PrOductivity,60545.0,6385288.0,http://www.figaro-irrigation.net/,fp7_105374_953873169,https://www.myeu.uk/postcode/L39/7JF
L40 6JJ,West Lancashire postcodes.csv,Promoting excellence and cooperation in the European education and training area and its relevance to the labour market (15.02.01.01),12056.0,379118.0,,fts_2017_32000,https://www.myeu.uk/postcode/L40/6JJ
L40 8JY,West Lancashire postcodes.csv,Integrated engineering approach validating reduced water and energy consumption in milk processing for wider food supply chain replication,247586.0,5791078.0,http://www.enremilk.eu/,fp7_111424_985410294,https://www.myeu.uk/postcode/L40/8JY
